Breed4,Breed3,Breed2,Breed1,id
0.108669162339965,0.673979967295895,0.108669162339965,0.108681708024175,sample_1
0.24856364242124,0.254309072730282,0.24856364242124,0.248563642427238,sample_2
0.227710351219214,0.227710353672663,0.316649987702817,0.227929307405305,sample_3
0.24995415877515,0.250092618022227,0.249954166174722,0.2499990570279,sample_4
0.2498068720654,0.249806873650773,0.249806872065583,0.250579382218245,sample_5
0.24961467688008,0.249614676705313,0.249614676705313,0.251155969709293,sample_6
0.249996033780035,0.24999603377988,0.249996033779872,0.250011898660213,sample_7
0.582089882775755,0.139301756805226,0.139301756805226,0.139306603613793,sample_8
0.249817529096697,0.249817529096661,0.249817529096667,0.250547412709975,sample_9
0.300233662529681,0.233255176531301,0.23325517652964,0.233255984409379,sample_10
0.246741578625763,0.259775260470588,0.246741578625763,0.246741582277886,sample_11
0.231837306415214,0.231837307220964,0.304472436906402,0.231852949457421,sample_12
0.249819764770241,0.249819015423881,0.249818890746352,0.250542329059526,sample_13
0.249828393477179,0.249828393461441,0.249828393443584,0.250514819617796,sample_14
0.244232205064228,0.244232205715963,0.267303124876257,0.244232464343553,sample_15
0.144059144046434,0.144059772606489,0.567813736678084,0.144067346668993,sample_16
0.573150805837259,0.142264685806621,0.142264685806572,0.142319822549547,sample_17
0.249867318826749,0.249867318892233,0.249867318869127,0.25039804341189,sample_18
0.321358181912717,0.226213743813181,0.226213743812932,0.226214330461169,sample_19
0.481290180906552,0.172903208028928,0.172903208028928,0.172903403035592,sample_20
0.220523970479034,0.220523970480013,0.338427351779656,0.220524707261296,sample_21
0.249934267100169,0.250197198570572,0.249934267100169,0.24993426722909,sample_22
0.249980880135005,0.249982276867882,0.249980880143365,0.250055962853748,sample_23
0.237368684298924,0.237368750659008,0.287893839044718,0.23736872599735,sample_24
0.249811737390828,0.250509526471509,0.249811737391605,0.249866998746058,sample_25
0.249926203069111,0.249926203069111,0.249926203069111,0.250221390792666,sample_26
0.24995907296418,0.249959073297918,0.24995907296418,0.250122780773722,sample_27
0.24969480476428,0.250915538209295,0.24969480476428,0.249694852262146,sample_28
0.248522393006848,0.248522393019032,0.254431032034063,0.248524181940057,sample_29
0.249697619998403,0.250907120573194,0.249697619998824,0.249697639429579,sample_30
0.179378839236563,0.179378844550585,0.461859780955366,0.179382535257486,sample_31
0.249158094895508,0.252525680645947,0.249158094895508,0.249158129563037,sample_32
0.249071873516246,0.249071873514744,0.249071873514735,0.252784379454276,sample_33
0.249603545720878,0.249603545720878,0.249603545720878,0.251189362837367,sample_34
0.250313585265833,0.249895381660208,0.249895381660377,0.249895651413582,sample_35
0.384958917274274,0.205013197084158,0.205013197098006,0.205014688543562,sample_36
0.248675990417597,0.248675834515305,0.248675833113015,0.253972341954083,sample_37
0.238062015729342,0.28581301960829,0.238062015729342,0.238062948933027,sample_38
0.24970460715573,0.250874936774633,0.24970460715573,0.249715848913908,sample_39
0.180789646799317,0.180789656202949,0.457624791345409,0.180795905652326,sample_40
0.249997854434056,0.249997854434074,0.249997854434056,0.250006436697815,sample_41
0.249564809775199,0.249564809655796,0.249564809655545,0.251305570913461,sample_42
0.937365245584222,0.0208777698182078,0.0208777698182078,0.0208792147793623,sample_43
0.216053554020119,0.216053554020227,0.351839268200599,0.216053623759055,sample_44
0.249978731568332,0.249978731568344,0.249978737000706,0.250063799862618,sample_45
0.249811397587918,0.24981139759172,0.249811398071854,0.250565806748508,sample_46
0.231376012792182,0.23137601351847,0.30587194400746,0.231376029681888,sample_47
0.249888667398757,0.249888832465503,0.250295320243258,0.249927179892482,sample_48
0.322087652696061,0.225970493835822,0.225970493835821,0.225971359632297,sample_49
